,match_id,match_date,home_team,away_team,home_score,away_score,team,player,pass_recipient,timestamp,period,minute,X_pass_start,Y_pass_start,X_pass_end,Y_pass_end,shot_outcome,player_id,type,X,Y,color,round_minute,penalty
11525,3857279,2022-11-22,France,Australia,4,1,Australia,Jackson Irvine,Aaron Mooy,2023-12-16 00:13:00.665,1,13.0,65.2,61.4,47.1,63.9,,,,,,,13,No
5831,3869519,2022-12-13,Argentina,Croatia,3,0,Argentina,Nicolás Hernán Otamendi,Enzo Fernandez,2023-12-16 00:13:00.054,1,13.0,57.1,1.3,64.9,9.0,,,,,,,13,No
6760,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Argentina,Damián Emiliano Martínez,Cristian Gabriel Romero,2023-12-16 00:13:00.702,1,13.0,22.4,43.2,30.8,54.3,,,,,,,13,No
199,3869151,2022-12-03,Argentina,Australia,2,1,Australia,Miloš Degenek,Harry Souttar,2023-12-16 00:13:01.650,1,13.016666666666667,39.7,75.6,22.9,62.9,,,,,,,14,No
2545,3869685,2022-12-18,Argentina,France,3,3,France,Theo Bernard François Hernández,Kylian Mbappé Lottin,2023-12-16 00:13:01.771,1,13.016666666666667,94.2,17.7,100.6,14.3,,,,,,,14,No
5832,3869519,2022-12-13,Argentina,Croatia,3,0,Argentina,Enzo Fernandez,Julián Álvarez,2023-12-16 00:13:02.640,1,13.033333333333333,65.1,7.2,85.4,5.8,,,,,,,14,No
11526,3857279,2022-11-22,France,Australia,4,1,Australia,Aaron Mooy,Harry Souttar,2023-12-16 00:13:02.788,1,13.033333333333333,44.8,65.0,33.5,60.7,,,,,,,14,No
8733,3869354,2022-12-10,England,France,1,2,France,Theo Bernard François Hernández,Dayotchanculle Upamecano,2023-12-16 00:13:02.731,1,13.033333333333333,71.1,26.9,57.6,26.7,,,,,,,14,No
4839,3857289,2022-11-26,Argentina,Mexico,2,0,Argentina,Nicolás Hernán Otamendi,Damián Emiliano Martínez,2023-12-16 00:13:03.240,1,13.05,39.0,56.6,18.4,38.7,,,,,,,14,No
10549,3869152,2022-12-04,France,Poland,3,1,France,Raphaël Varane,Kylian Mbappé Lottin,2023-12-16 00:13:03.552,1,13.05,53.4,34.4,68.6,51.5,,,,,,,14,No
200,3869151,2022-12-03,Argentina,Australia,2,1,Australia,Harry Souttar,Mathew Ryan,2023-12-16 00:13:04.930,1,13.066666666666666,22.9,58.3,10.3,47.1,,,,,,,14,No
6761,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Argentina,Cristian Gabriel Romero,Leandro Daniel Paredes,2023-12-16 00:13:04.816,1,13.066666666666666,38.0,56.8,34.0,36.2,,,,,,,14,No
11527,3857279,2022-11-22,France,Australia,4,1,Australia,Harry Souttar,Aaron Mooy,2023-12-16 00:13:04.893,1,13.066666666666666,33.8,61.1,40.0,66.9,,,,,,,14,No
8734,3869354,2022-12-10,England,France,1,2,France,Dayotchanculle Upamecano,Adrien Rabiot,2023-12-16 00:13:05.524,1,13.083333333333334,63.2,24.5,69.1,32.0,,,,,,,14,No
9655,3869552,2022-12-14,France,Morocco,2,0,Morocco,Achraf Hakimi Mouh,Youssef En-Nesyri,2023-12-16 00:13:05.955,1,13.083333333333334,27.0,80.0,40.3,78.5,,,,,,,14,No
10550,3869152,2022-12-04,France,Poland,3,1,France,Jules Koundé,Ousmane Dembélé,2023-12-16 00:13:05.342,1,13.083333333333334,61.3,55.5,75.3,74.5,,,,,,,14,No
4840,3857289,2022-11-26,Argentina,Mexico,2,0,Argentina,Damián Emiliano Martínez,Guido Rodríguez,2023-12-16 00:13:05.833,1,13.083333333333334,18.4,38.7,22.8,43.6,,,,,,,14,No
5833,3869519,2022-12-13,Argentina,Croatia,3,0,Argentina,Julián Álvarez,Enzo Fernandez,2023-12-16 00:13:06.553,1,13.1,99.2,4.8,89.9,16.0,,,,,,,14,No
11528,3857279,2022-11-22,France,Australia,4,1,Australia,Aaron Mooy,Harry Souttar,2023-12-16 00:13:06.840,1,13.1,37.7,66.7,29.5,60.2,,,,,,,14,No
9656,3869552,2022-12-14,France,Morocco,2,0,Morocco,Youssef En-Nesyri,Achraf Hakimi Mouh,2023-12-16 00:13:07.224,1,13.116666666666667,40.3,78.5,33.1,78.5,,,,,,,14,No
2546,3869685,2022-12-18,Argentina,France,3,3,France,Kylian Mbappé Lottin,Adrien Rabiot,2023-12-16 00:13:07.323,1,13.116666666666667,99.1,19.2,99.5,28.2,,,,,,,14,No
201,3869151,2022-12-03,Argentina,Australia,2,1,Australia,Mathew Ryan,Kye Rowles,2023-12-16 00:13:07.871,1,13.116666666666667,13.4,32.8,19.4,27.5,,,,,,,14,No
2547,3869685,2022-12-18,Argentina,France,3,3,France,Adrien Rabiot,Kylian Mbappé Lottin,2023-12-16 00:13:08.805,1,13.133333333333333,99.5,28.2,116.6,29.0,,,,,,,14,No
3670,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Jakub Piotr Kiwior,Grzegorz Krychowiak,2023-12-16 00:13:08.020,1,13.133333333333333,44.8,8.5,44.0,33.2,,,,,,,14,No
9657,3869552,2022-12-14,France,Morocco,2,0,Morocco,Achraf Hakimi Mouh,Jawad El Yamiq,2023-12-16 00:13:08.357,1,13.133333333333333,33.1,78.8,20.4,23.1,,,,,,,14,No
11529,3857279,2022-11-22,France,Australia,4,1,Australia,Harry Souttar,Kye Rowles,2023-12-16 00:13:09.195,1,13.15,31.9,52.8,19.2,40.3,,,,,,,14,No
5834,3869519,2022-12-13,Argentina,Croatia,3,0,Argentina,Enzo Fernandez,Lionel Andrés Messi Cuccittini,2023-12-16 00:13:09.118,1,13.15,93.7,24.4,114.2,31.3,,,,,,,14,No
6762,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Argentina,Leandro Daniel Paredes,Alejandro Darío Gómez,2023-12-16 00:13:09.950,1,13.15,43.7,28.9,61.9,22.4,,,,,,,14,No
202,3869151,2022-12-03,Argentina,Australia,2,1,Australia,Kye Rowles,Harry Souttar,2023-12-16 00:13:10.003,1,13.166666666666666,21.3,26.3,20.5,58.8,,,,,,,14,No
4841,3857289,2022-11-26,Argentina,Mexico,2,0,Argentina,Guido Rodríguez,Nicolás Hernán Otamendi,2023-12-16 00:13:11.848,1,13.183333333333334,28.5,38.7,42.8,63.9,,,,,,,14,No
11530,3857279,2022-11-22,France,Australia,4,1,Australia,Kye Rowles,Mathew Ryan,2023-12-16 00:13:11.330,1,13.183333333333334,19.2,40.6,3.5,51.6,,,,,,,14,No
6763,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Argentina,Alejandro Darío Gómez,Ángel Fabián Di María Hernández,2023-12-16 00:13:11.779,1,13.183333333333334,61.2,28.4,87.9,73.8,,,,,,,14,No
10551,3869152,2022-12-04,France,Poland,3,1,France,Ousmane Dembélé,Kylian Mbappé Lottin,2023-12-16 00:13:12.352,1,13.2,97.1,57.3,100.2,33.5,,,,,,,14,No
8735,3869354,2022-12-10,England,France,1,2,England,Harry Kane,Declan Rice,2023-12-16 00:13:13.676,1,13.216666666666667,102.1,54.2,97.5,75.1,,,,,,,14,No
3671,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Grzegorz Krychowiak,Piotr Zieliński,2023-12-16 00:13:14.719,1,13.233333333333333,45.1,42.5,53.3,53.4,,,,,,,14,No
5835,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Dominik Livaković,Marcelo Brozović,2023-12-16 00:13:14.752,1,13.233333333333333,13.8,45.4,32.3,45.4,,,,,,,14,No
4842,3857289,2022-11-26,Argentina,Mexico,2,0,Argentina,Nicolás Hernán Otamendi,Gonzalo Ariel Montiel,2023-12-16 00:13:14.800,1,13.233333333333333,48.0,66.9,72.7,73.7,,,,,,,14,No
3672,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Piotr Zieliński,Krystian Bielik,2023-12-16 00:13:15.565,1,13.25,53.5,53.4,54.5,36.8,,,,,,,14,No
9658,3869552,2022-12-14,France,Morocco,2,0,Morocco,Jawad El Yamiq,Noussair Mazraoui,2023-12-16 00:13:15.041,1,13.25,11.5,14.8,23.4,14.3,,,,,,,14,No
8736,3869354,2022-12-10,England,France,1,2,England,Declan Rice,Jordan Brian Henderson,2023-12-16 00:13:16.420,1,13.266666666666667,97.5,75.1,76.3,68.7,,,,,,,14,No
12626,3857275,2022-11-30,Tunisia,France,1,0,Tunisia,Yassine Meriah,Anis Ben Slimane,2023-12-16 00:13:16.884,1,13.266666666666667,37.9,52.1,75.9,59.2,,,,,,,14,No
203,3869151,2022-12-03,Argentina,Australia,2,1,Australia,Harry Souttar,Mitchell Thomas Duke,2023-12-16 00:13:16.238,1,13.266666666666667,40.2,63.6,63.2,46.6,,,,,,,14,No
3673,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Krystian Bielik,Piotr Zieliński,2023-12-16 00:13:17.240,1,13.283333333333333,55.1,36.6,54.1,41.6,,,,,,,14,No
5836,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Marcelo Brozović,Andrej Kramarić,2023-12-16 00:13:18.372,1,13.3,25.4,28.9,42.7,11.1,,,,,,,14,No
9659,3869552,2022-12-14,France,Morocco,2,0,Morocco,Noussair Mazraoui,Jawad El Yamiq,2023-12-16 00:13:18.699,1,13.3,15.9,8.1,11.4,16.2,,,,,,,14,No
8737,3869354,2022-12-10,England,France,1,2,England,Jordan Brian Henderson,Kyle Walker,2023-12-16 00:13:19.964,1,13.316666666666666,79.7,70.9,57.6,70.6,,,,,,,14,No
204,3869151,2022-12-03,Argentina,Australia,2,1,Argentina,Enzo Fernandez,Marcos Javier Acuña,2023-12-16 00:13:19.452,1,13.316666666666666,59.3,23.2,46.8,22.9,,,,,,,14,No
3674,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Piotr Zieliński,Bartosz Bereszyński,2023-12-16 00:13:20.850,1,13.333333333333334,65.0,32.4,57.2,13.7,,,,,,,14,No
9660,3869552,2022-12-14,France,Morocco,2,0,Morocco,Jawad El Yamiq,Azzedine Ounahi,2023-12-16 00:13:20.646,1,13.333333333333334,11.4,16.3,27.2,22.1,,,,,,,14,No
205,3869151,2022-12-03,Argentina,Australia,2,1,Argentina,Marcos Javier Acuña,Cristian Gabriel Romero,2023-12-16 00:13:21.673,1,13.35,40.1,23.4,33.3,35.3,,,,,,,14,No
5837,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Andrej Kramarić,Borna Sosa,2023-12-16 00:13:21.715,1,13.35,46.9,4.9,33.7,8.8,,,,,,,14,No
3675,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Bartosz Bereszyński,Jakub Piotr Kiwior,2023-12-16 00:13:22.529,1,13.366666666666667,57.2,13.7,47.7,22.3,,,,,,,14,No
8738,3869354,2022-12-10,England,France,1,2,England,Kyle Walker,Harry Maguire,2023-12-16 00:13:22.098,1,13.366666666666667,57.4,70.9,53.0,35.9,,,,,,,14,No
7725,3857266,2022-11-26,France,Denmark,2,1,Denmark,Victor Nelsson,Pierre-Emile Højbjerg,2023-12-16 00:13:22.536,1,13.366666666666667,45.6,29.3,54.7,28.5,,,,,,,14,No
7726,3857266,2022-11-26,France,Denmark,2,1,Denmark,Pierre-Emile Højbjerg,Victor Nelsson,2023-12-16 00:13:23.876,1,13.383333333333333,54.3,28.5,49.1,27.4,,,,,,,14,No
9661,3869552,2022-12-14,France,Morocco,2,0,Morocco,Azzedine Ounahi,Achraf Hakimi Mouh,2023-12-16 00:13:24.579,1,13.4,30.0,24.8,51.5,76.3,,,,,,,14,No
5838,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Borna Sosa,Joško Gvardiol,2023-12-16 00:13:24.854,1,13.4,33.3,8.6,20.5,21.7,,,,,,,14,No
2548,3869685,2022-12-18,Argentina,France,3,3,Argentina,Damián Emiliano Martínez,Nicolás Hernán Otamendi,2023-12-16 00:13:24.189,1,13.4,4.8,42.3,22.1,24.7,,,,,,,14,No
3676,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Jakub Piotr Kiwior,Kamil Glik,2023-12-16 00:13:25.311,1,13.416666666666666,44.9,23.7,45.1,54.6,,,,,,,14,No
206,3869151,2022-12-03,Argentina,Australia,2,1,Argentina,Cristian Gabriel Romero,Enzo Fernandez,2023-12-16 00:13:26.503,1,13.433333333333334,38.2,41.0,39.6,49.2,,,,,,,14,No
11531,3857279,2022-11-22,France,Australia,4,1,France,Theo Bernard François Hernández,Dayotchanculle Upamecano,2023-12-16 00:13:26.720,1,13.433333333333334,67.9,0.1,37.3,5.0,,,,,,,14,No
12627,3857275,2022-11-30,Tunisia,France,1,0,Tunisia,Anis Ben Slimane,Wajdi Kechrida,2023-12-16 00:13:26.077,1,13.433333333333334,101.6,80.0,100.4,70.8,,,,,,,14,No
8739,3869354,2022-12-10,England,France,1,2,England,Harry Maguire,Luke Shaw,2023-12-16 00:13:27.388,1,13.45,74.0,19.0,87.0,3.0,,,,,,,14,No
12628,3857275,2022-11-30,Tunisia,France,1,0,Tunisia,Wajdi Kechrida,Aïssa Bilal Laïdouni,2023-12-16 00:13:27.863,1,13.45,100.4,70.8,86.8,52.9,,,,,,,14,No
3677,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Kamil Glik,Krystian Bielik,2023-12-16 00:13:28.454,1,13.466666666666667,44.8,54.4,46.9,47.6,,,,,,,14,No
