,match_id,match_date,home_team,away_team,home_score,away_score,team,player,pass_recipient,timestamp,period,minute,X_pass_start,Y_pass_start,X_pass_end,Y_pass_end,shot_outcome,player_id,type,X,Y,color,round_minute,penalty
12535,3857275,2022-11-30,Tunisia,France,1,0,Tunisia,Ellyes Joris Skhiri,Wahbi Khazri,2023-12-16 00:00:00.339,1,0.0,60.0,40.0,66.5,38.5,,,,,,,0,No
2428,3869685,2022-12-18,Argentina,France,3,3,France,Antoine Griezmann,Aurélien Djani Tchouaméni,2023-12-16 00:00:00.578,1,0.0,61.0,40.1,48.0,43.2,,,,,,,0,No
1160,3869321,2022-12-09,Netherlands,Argentina,2,2,Netherlands,Memphis Depay,Nathan Aké,2023-12-16 00:00:00.335,1,0.0,60.0,40.0,36.3,34.9,,,,,,,0,No
8594,3869354,2022-12-10,England,France,1,2,France,Antoine Griezmann,Aurélien Djani Tchouaméni,2023-12-16 00:00:00.502,1,0.0,61.0,40.1,45.4,41.8,,,,,,,0,No
5643,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Andrej Kramarić,Dejan Lovren,2023-12-16 00:00:00.423,1,0.0,61.0,40.1,38.0,48.1,,,,,,,0,No
9502,3869552,2022-12-14,France,Morocco,2,0,Morocco,Sofyan Amrabat,Achraf Dari,2023-12-16 00:00:00.494,1,0.0,61.0,40.1,33.9,59.0,,,,,,,0,No
10421,3869152,2022-12-04,France,Poland,3,1,France,Olivier Giroud,Aurélien Djani Tchouaméni,2023-12-16 00:00:00.350,1,0.0,60.0,40.0,47.5,41.1,,,,,,,0,No
7538,3857266,2022-11-26,France,Denmark,2,1,Denmark,Andreas Evald Cornelius,Christian Dannemann Eriksen,2023-12-16 00:00:00.129,1,0.0,61.0,40.1,59.5,39.1,,,,,,,0,No
6663,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Saudi Arabia,Saleh Khalid Al Shehri,Mohammed Kanoo,2023-12-16 00:00:00.411,1,0.0,61.0,40.1,44.8,41.9,,,,,,,0,No
11407,3857279,2022-11-22,France,Australia,4,1,France,Olivier Giroud,Aurélien Djani Tchouaméni,2023-12-16 00:00:00.628,1,0.0,60.0,40.0,47.9,38.1,,,,,,,0,No
3542,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Karol Świderski,Jakub Piotr Kiwior,2023-12-16 00:00:00.321,1,0.0,60.0,40.0,37.3,47.5,,,,,,,0,No
4703,3857289,2022-11-26,Argentina,Mexico,2,0,Mexico,José Andrés Guardado Hernández,Héctor Miguel Herrera López,2023-12-16 00:00:00.547,1,0.0,61.0,40.1,43.3,36.5,,,,,,,0,No
10422,3869152,2022-12-04,France,Poland,3,1,France,Aurélien Djani Tchouaméni,Jules Koundé,2023-12-16 00:00:01.834,1,0.016666666666666666,48.7,42.1,41.6,65.0,,,,,,,1,No
12536,3857275,2022-11-30,Tunisia,France,1,0,Tunisia,Wahbi Khazri,Anis Ben Slimane,2023-12-16 00:00:01.910,1,0.016666666666666666,64.1,41.7,64.3,53.1,,,,,,,1,No
3543,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Jakub Piotr Kiwior,Matty Cash,2023-12-16 00:00:02.972,1,0.03333333333333333,39.9,46.5,106.8,79.8,,,,,,,1,No
7539,3857266,2022-11-26,France,Denmark,2,1,Denmark,Christian Dannemann Eriksen,Rasmus Nissen Kristensen,2023-12-16 00:00:02.279,1,0.03333333333333333,65.3,42.1,71.6,77.2,,,,,,,1,No
12537,3857275,2022-11-30,Tunisia,France,1,0,Tunisia,Anis Ben Slimane,Wajdi Kechrida,2023-12-16 00:00:02.486,1,0.03333333333333333,64.3,53.1,64.9,74.8,,,,,,,1,No
8595,3869354,2022-12-10,England,France,1,2,France,Aurélien Djani Tchouaméni,Kylian Mbappé Lottin,2023-12-16 00:00:02.788,1,0.03333333333333333,46.1,42.3,87.7,12.2,,,,,,,1,No
2429,3869685,2022-12-18,Argentina,France,3,3,France,Aurélien Djani Tchouaméni,Olivier Giroud,2023-12-16 00:00:02.724,1,0.03333333333333333,49.7,43.6,96.0,1.8,,,,,,,1,No
11408,3857279,2022-11-22,France,Australia,4,1,France,Aurélien Djani Tchouaméni,Adrien Rabiot,2023-12-16 00:00:02.292,1,0.03333333333333333,46.5,35.0,46.5,25.2,,,,,,,1,No
6664,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Saudi Arabia,Mohammed Kanoo,Saleh Khalid Al Shehri,2023-12-16 00:00:02.786,1,0.03333333333333333,46.6,41.9,58.5,40.6,,,,,,,1,No
6665,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Saudi Arabia,Saleh Khalid Al Shehri,Mohammed Kanoo,2023-12-16 00:00:03.872,1,0.05,57.6,41.0,47.0,41.9,,,,,,,1,No
1161,3869321,2022-12-09,Netherlands,Argentina,2,2,Netherlands,Nathan Aké,Denzel Dumfries,2023-12-16 00:00:03.509,1,0.05,36.9,35.7,78.4,76.8,,,,,,,1,No
4704,3857289,2022-11-26,Argentina,Mexico,2,0,Mexico,Héctor Miguel Herrera López,Hirving Rodrigo Lozano Bahena,2023-12-16 00:00:03.438,1,0.05,43.9,39.3,120.0,57.7,,,,,,,1,No
10423,3869152,2022-12-04,France,Poland,3,1,France,Jules Koundé,Hugo Lloris,2023-12-16 00:00:04.084,1,0.06666666666666667,41.8,64.4,11.4,43.9,,,,,,,1,No
9503,3869552,2022-12-14,France,Morocco,2,0,Morocco,Achraf Dari,Yassine Bounou,2023-12-16 00:00:04.214,1,0.06666666666666667,28.7,57.0,12.2,39.9,,,,,,,1,No
11409,3857279,2022-11-22,France,Australia,4,1,France,Adrien Rabiot,Dayotchanculle Upamecano,2023-12-16 00:00:05.637,1,0.08333333333333333,46.6,23.1,34.8,20.7,,,,,,,1,No
12538,3857275,2022-11-30,Tunisia,France,1,0,Tunisia,Wajdi Kechrida,Yassine Meriah,2023-12-16 00:00:05.340,1,0.08333333333333333,65.3,74.8,50.0,69.4,,,,,,,1,No
1162,3869321,2022-12-09,Netherlands,Argentina,2,2,Netherlands,Denzel Dumfries,Cody Mathès Gakpo,2023-12-16 00:00:06.629,1,0.1,78.4,76.8,80.6,65.8,,,,,,,1,No
8596,3869354,2022-12-10,England,France,1,2,England,Jude Bellingham,Harry Maguire,2023-12-16 00:00:06.517,1,0.1,33.8,48.9,20.2,43.7,,,,,,,1,No
5644,3869519,2022-12-13,Argentina,Croatia,3,0,Argentina,Nicolás Hernán Otamendi,Alexis Mac Allister,2023-12-16 00:00:06.423,1,0.1,23.3,47.6,46.8,40.3,,,,,,,1,No
9504,3869552,2022-12-14,France,Morocco,2,0,Morocco,Yassine Bounou,Jawad El Yamiq,2023-12-16 00:00:06.744,1,0.1,12.2,40.9,19.5,6.5,,,,,,,1,No
6666,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Saudi Arabia,Mohammed Kanoo,Hassan Mohammed Al-Tambakti,2023-12-16 00:00:06.557,1,0.1,48.4,48.2,45.5,72.6,,,,,,,1,No
11410,3857279,2022-11-22,France,Australia,4,1,France,Dayotchanculle Upamecano,Aurélien Djani Tchouaméni,2023-12-16 00:00:07.588,1,0.11666666666666667,34.0,20.7,40.1,34.6,,,,,,,1,No
12539,3857275,2022-11-30,Tunisia,France,1,0,Tunisia,Yassine Meriah,Nader Ghandri,2023-12-16 00:00:07.530,1,0.11666666666666667,49.0,67.2,37.5,51.1,,,,,,,1,No
11411,3857279,2022-11-22,France,Australia,4,1,France,Aurélien Djani Tchouaméni,Benjamin Pavard,2023-12-16 00:00:09.996,1,0.15,40.8,45.1,43.6,67.4,,,,,,,1,No
5645,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Marcelo Brozović,Dejan Lovren,2023-12-16 00:00:10.043,1,0.16666666666666666,62.2,41.0,45.9,42.8,,,,,,,1,No
5646,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Dejan Lovren,Josip Juranović,2023-12-16 00:00:11.642,1,0.18333333333333332,45.5,42.8,49.5,65.5,,,,,,,1,No
6667,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Saudi Arabia,Hassan Mohammed Al-Tambakti,Salman Mohammed Al Faraj,2023-12-16 00:00:11.377,1,0.18333333333333332,52.5,72.6,87.0,73.3,,,,,,,1,No
12540,3857275,2022-11-30,Tunisia,France,1,0,Tunisia,Nader Ghandri,Montassar Omar Talbi,2023-12-16 00:00:11.162,1,0.18333333333333332,39.0,37.3,34.3,17.2,,,,,,,1,No
9505,3869552,2022-12-14,France,Morocco,2,0,Morocco,Jawad El Yamiq,Romain Saïss,2023-12-16 00:00:11.630,1,0.18333333333333332,21.4,9.8,9.4,19.0,,,,,,,1,No
11412,3857279,2022-11-22,France,Australia,4,1,France,Benjamin Pavard,Ibrahima Konaté,2023-12-16 00:00:11.450,1,0.18333333333333332,43.5,67.7,28.9,57.2,,,,,,,1,No
12541,3857275,2022-11-30,Tunisia,France,1,0,Tunisia,Montassar Omar Talbi,Ali Maâloul,2023-12-16 00:00:13.933,1,0.21666666666666667,36.7,11.0,56.0,2.9,,,,,,,1,No
7540,3857266,2022-11-26,France,Denmark,2,1,Denmark,Rasmus Nissen Kristensen,Jesper Lindstrøm,2023-12-16 00:00:14.425,1,0.23333333333333334,76.2,80.0,86.7,74.2,,,,,,,1,No
9506,3869552,2022-12-14,France,Morocco,2,0,Morocco,Romain Saïss,Yassine Bounou,2023-12-16 00:00:14.420,1,0.23333333333333334,8.7,20.1,5.8,33.1,,,,,,,1,No
10424,3869152,2022-12-04,France,Poland,3,1,France,Adrien Rabiot,Antoine Griezmann,2023-12-16 00:00:14.727,1,0.23333333333333334,72.0,32.1,82.8,48.0,,,,,,,1,No
5647,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Josip Juranović,Dejan Lovren,2023-12-16 00:00:14.742,1,0.23333333333333334,49.0,65.8,40.4,51.0,,,,,,,1,No
11413,3857279,2022-11-22,France,Australia,4,1,France,Ibrahima Konaté,Dayotchanculle Upamecano,2023-12-16 00:00:15.060,1,0.25,30.6,42.2,37.0,27.7,,,,,,,1,No
4705,3857289,2022-11-26,Argentina,Mexico,2,0,Argentina,Damián Emiliano Martínez,Nicolás Hernán Otamendi,2023-12-16 00:00:15.756,1,0.25,6.0,36.0,7.8,49.5,,,,,,,1,No
6668,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Argentina,Nicolás Alejandro Tagliafico,Lautaro Javier Martínez,2023-12-16 00:00:15.251,1,0.25,34.9,4.4,48.9,8.4,,,,,,,1,No
2430,3869685,2022-12-18,Argentina,France,3,3,Argentina,Nahuel Molina Lucero,Rodrigo Javier De Paul,2023-12-16 00:00:16.423,1,0.26666666666666666,22.7,80.0,36.0,75.2,,,,,,,1,No
12542,3857275,2022-11-30,Tunisia,France,1,0,Tunisia,Ali Maâloul,Anis Ben Slimane,2023-12-16 00:00:16.536,1,0.26666666666666666,63.1,1.7,90.4,32.3,,,,,,,1,No
7541,3857266,2022-11-26,France,Denmark,2,1,Denmark,Jesper Lindstrøm,Pierre-Emile Højbjerg,2023-12-16 00:00:16.788,1,0.26666666666666666,87.5,75.9,81.5,68.2,,,,,,,1,No
6669,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Argentina,Lautaro Javier Martínez,Leandro Daniel Paredes,2023-12-16 00:00:17.792,1,0.2833333333333333,45.3,5.3,34.3,9.8,,,,,,,1,No
4706,3857289,2022-11-26,Argentina,Mexico,2,0,Argentina,Nicolás Hernán Otamendi,Gonzalo Ariel Montiel,2023-12-16 00:00:17.890,1,0.2833333333333333,8.9,51.1,21.1,71.8,,,,,,,1,No
5648,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Dejan Lovren,Borna Sosa,2023-12-16 00:00:17.011,1,0.2833333333333333,41.0,50.1,50.8,10.4,,,,,,,1,No
3544,3857264,2022-11-30,Poland,Argentina,0,2,Argentina,Marcos Javier Acuña,Julián Álvarez,2023-12-16 00:00:18.655,1,0.3,22.6,0.1,34.3,5.2,,,,,,,1,No
11414,3857279,2022-11-22,France,Australia,4,1,France,Dayotchanculle Upamecano,Lucas Hernández Pi,2023-12-16 00:00:19.041,1,0.31666666666666665,47.4,26.0,70.3,1.6,,,,,,,1,No
6670,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Argentina,Leandro Daniel Paredes,Nicolás Hernán Otamendi,2023-12-16 00:00:19.596,1,0.31666666666666665,33.8,10.0,19.8,10.9,,,,,,,1,No
7542,3857266,2022-11-26,France,Denmark,2,1,Denmark,Pierre-Emile Højbjerg,Joakim Mæhle,2023-12-16 00:00:19.025,1,0.31666666666666665,80.4,62.8,93.9,13.4,,,,,,,1,No
9507,3869552,2022-12-14,France,Morocco,2,0,Morocco,Yassine Bounou,Azzedine Ounahi,2023-12-16 00:00:20.248,1,0.3333333333333333,10.4,38.5,20.6,40.9,,,,,,,1,No
11415,3857279,2022-11-22,France,Australia,4,1,France,Lucas Hernández Pi,Kylian Mbappé Lottin,2023-12-16 00:00:20.514,1,0.3333333333333333,70.3,1.8,69.6,7.4,,,,,,,1,No
5649,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Borna Sosa,Joško Gvardiol,2023-12-16 00:00:20.966,1,0.3333333333333333,51.4,9.8,38.5,15.3,,,,,,,1,No
3545,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Grzegorz Krychowiak,Piotr Zieliński,2023-12-16 00:00:21.587,1,0.35,78.7,68.2,81.9,65.9,,,,,,,1,No
6671,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Argentina,Nicolás Hernán Otamendi,Cristian Gabriel Romero,2023-12-16 00:00:22.274,1,0.36666666666666664,19.1,14.1,16.9,40.9,,,,,,,1,No
11416,3857279,2022-11-22,France,Australia,4,1,France,Kylian Mbappé Lottin,Lucas Hernández Pi,2023-12-16 00:00:22.527,1,0.36666666666666664,68.3,4.4,57.5,1.8,,,,,,,1,No
4707,3857289,2022-11-26,Argentina,Mexico,2,0,Argentina,Gonzalo Ariel Montiel,Nicolás Hernán Otamendi,2023-12-16 00:00:22.955,1,0.36666666666666664,32.8,69.3,21.1,53.9,,,,,,,1,No
11417,3857279,2022-11-22,France,Australia,4,1,France,Lucas Hernández Pi,Dayotchanculle Upamecano,2023-12-16 00:00:23.938,1,0.38333333333333336,57.5,1.8,38.7,7.4,,,,,,,1,No
7543,3857266,2022-11-26,France,Denmark,2,1,Denmark,Joakim Mæhle,Christian Dannemann Eriksen,2023-12-16 00:00:23.277,1,0.38333333333333336,93.9,13.4,81.8,21.3,,,,,,,1,No
5650,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Joško Gvardiol,Dominik Livaković,2023-12-16 00:00:23.015,1,0.38333333333333336,36.2,15.8,10.5,34.8,,,,,,,1,No
9508,3869552,2022-12-14,France,Morocco,2,0,Morocco,Azzedine Ounahi,Achraf Dari,2023-12-16 00:00:23.396,1,0.38333333333333336,12.9,49.0,10.1,71.6,,,,,,,1,No
3546,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Kamil Glik,Jakub Piotr Kiwior,2023-12-16 00:00:24.961,1,0.4,58.5,67.6,39.8,53.2,,,,,,,1,No
7544,3857266,2022-11-26,France,Denmark,2,1,Denmark,Christian Dannemann Eriksen,Victor Nelsson,2023-12-16 00:00:25.081,1,0.4166666666666667,84.0,20.7,68.9,18.5,,,,,,,1,No
5651,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Dominik Livaković,Dejan Lovren,2023-12-16 00:00:26.950,1,0.43333333333333335,12.8,43.2,27.2,61.7,,,,,,,1,No
11418,3857279,2022-11-22,France,Australia,4,1,France,Dayotchanculle Upamecano,Ibrahima Konaté,2023-12-16 00:00:26.757,1,0.43333333333333335,39.0,17.0,37.6,36.0,,,,,,,1,No
9509,3869552,2022-12-14,France,Morocco,2,0,Morocco,Achraf Dari,Hakim Ziyech,2023-12-16 00:00:26.107,1,0.43333333333333335,10.9,77.7,52.2,64.6,,,,,,,1,No
6672,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Argentina,Cristian Gabriel Romero,Rodrigo Javier De Paul,2023-12-16 00:00:26.562,1,0.43333333333333335,27.3,47.4,33.1,51.5,,,,,,,1,No
7545,3857266,2022-11-26,France,Denmark,2,1,Denmark,Victor Nelsson,Andreas Christensen,2023-12-16 00:00:27.170,1,0.45,67.5,18.8,56.6,35.0,,,,,,,1,No
4708,3857289,2022-11-26,Argentina,Mexico,2,0,Argentina,Nicolás Hernán Otamendi,Gonzalo Ariel Montiel,2023-12-16 00:00:27.142,1,0.45,24.1,51.7,34.7,67.4,,,,,,,1,No
3547,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Jakub Piotr Kiwior,Wojciech Szczęsny,2023-12-16 00:00:28.228,1,0.4666666666666667,38.0,47.0,10.0,38.7,,,,,,,1,No
7546,3857266,2022-11-26,France,Denmark,2,1,Denmark,Andreas Christensen,Christian Dannemann Eriksen,2023-12-16 00:00:29.769,1,0.48333333333333334,54.8,37.5,63.9,22.6,,,,,,,1,No
4709,3857289,2022-11-26,Argentina,Mexico,2,0,Argentina,Gonzalo Ariel Montiel,Ángel Fabián Di María Hernández,2023-12-16 00:00:29.748,1,0.48333333333333334,39.9,68.8,46.6,73.7,,,,,,,1,No
1163,3869321,2022-12-09,Netherlands,Argentina,2,2,Argentina,Enzo Fernandez,Nicolás Hernán Otamendi,2023-12-16 00:00:29.166,1,0.48333333333333334,40.5,13.8,30.7,45.4,,,,,,,1,No
6673,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Argentina,Rodrigo Javier De Paul,Leandro Daniel Paredes,2023-12-16 00:00:29.544,1,0.48333333333333334,40.6,48.6,35.2,38.4,,,,,,,1,No
7547,3857266,2022-11-26,France,Denmark,2,1,Denmark,Christian Dannemann Eriksen,Victor Nelsson,2023-12-16 00:00:30.879,1,0.5,63.9,22.6,49.4,22.1,,,,,,,1,No
1164,3869321,2022-12-09,Netherlands,Argentina,2,2,Argentina,Nicolás Hernán Otamendi,Cristian Gabriel Romero,2023-12-16 00:00:30.600,1,0.5,30.7,45.4,40.9,65.6,,,,,,,1,No
11419,3857279,2022-11-22,France,Australia,4,1,France,Ibrahima Konaté,Antoine Griezmann,2023-12-16 00:00:31.779,1,0.5166666666666667,49.2,58.9,66.9,77.1,,,,,,,1,No
2431,3869685,2022-12-18,Argentina,France,3,3,Argentina,Rodrigo Javier De Paul,Cristian Gabriel Romero,2023-12-16 00:00:31.843,1,0.5166666666666667,41.1,73.9,23.2,62.8,,,,,,,1,No
4710,3857289,2022-11-26,Argentina,Mexico,2,0,Argentina,Ángel Fabián Di María Hernández,Marcos Javier Acuña,2023-12-16 00:00:32.020,1,0.5333333333333333,43.9,72.9,58.3,14.5,,,,,,,1,No
11420,3857279,2022-11-22,France,Australia,4,1,France,Antoine Griezmann,Ousmane Dembélé,2023-12-16 00:00:33.930,1,0.55,66.9,76.1,83.6,67.3,,,,,,,1,No
5652,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Dejan Lovren,Borna Sosa,2023-12-16 00:00:33.063,1,0.55,35.9,62.3,39.0,9.4,,,,,,,1,No
12543,3857275,2022-11-30,Tunisia,France,1,0,France,Steve Mandanda,Raphaël Varane,2023-12-16 00:00:34.618,1,0.5666666666666667,11.4,47.0,23.7,59.3,,,,,,,1,No
6674,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Argentina,Leandro Daniel Paredes,Cristian Gabriel Romero,2023-12-16 00:00:34.662,1,0.5666666666666667,43.3,33.9,39.0,51.7,,,,,,,1,No
7548,3857266,2022-11-26,France,Denmark,2,1,Denmark,Victor Nelsson,Andreas Christensen,2023-12-16 00:00:34.047,1,0.5666666666666667,46.4,25.5,44.8,42.5,,,,,,,1,No
1165,3869321,2022-12-09,Netherlands,Argentina,2,2,Argentina,Cristian Gabriel Romero,Nahuel Molina Lucero,2023-12-16 00:00:34.269,1,0.5666666666666667,52.0,71.2,58.8,76.6,,,,,,,1,No
2432,3869685,2022-12-18,Argentina,France,3,3,Argentina,Cristian Gabriel Romero,Nicolás Hernán Otamendi,2023-12-16 00:00:34.727,1,0.5666666666666667,24.7,59.4,21.5,32.2,,,,,,,1,No
4711,3857289,2022-11-26,Argentina,Mexico,2,0,Argentina,Marcos Javier Acuña,Lautaro Javier Martínez,2023-12-16 00:00:36.109,1,0.6,57.8,12.3,68.1,19.4,,,,,,,1,No
5653,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Borna Sosa,Joško Gvardiol,2023-12-16 00:00:37.755,1,0.6166666666666667,32.4,8.1,14.6,14.0,,,,,,,1,No
1166,3869321,2022-12-09,Netherlands,Argentina,2,2,Argentina,Nahuel Molina Lucero,Enzo Fernandez,2023-12-16 00:00:37.633,1,0.6166666666666667,51.5,72.6,50.1,67.4,,,,,,,1,No
3548,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Wojciech Szczęsny,Bartosz Bereszyński,2023-12-16 00:00:37.538,1,0.6166666666666667,12.6,43.7,53.5,3.2,,,,,,,1,No
1167,3869321,2022-12-09,Netherlands,Argentina,2,2,Argentina,Enzo Fernandez,Rodrigo Javier De Paul,2023-12-16 00:00:38.266,1,0.6333333333333333,50.2,68.4,52.8,73.3,,,,,,,1,No
12544,3857275,2022-11-30,Tunisia,France,1,0,France,Raphaël Varane,Axel Disasi,2023-12-16 00:00:38.318,1,0.6333333333333333,32.5,63.7,34.3,77.0,,,,,,,1,No
2433,3869685,2022-12-18,Argentina,France,3,3,Argentina,Nicolás Hernán Otamendi,Cristian Gabriel Romero,2023-12-16 00:00:39.227,1,0.65,24.0,27.1,21.7,49.3,,,,,,,1,No
9510,3869552,2022-12-14,France,Morocco,2,0,Morocco,Sofiane Boufal,Jawad El Yamiq,2023-12-16 00:00:39.056,1,0.65,75.0,13.2,64.4,15.2,,,,,,,1,No
6675,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Argentina,Cristian Gabriel Romero,Nahuel Molina Lucero,2023-12-16 00:00:40.715,1,0.6666666666666666,54.1,56.2,50.3,75.2,,,,,,,1,No
1168,3869321,2022-12-09,Netherlands,Argentina,2,2,Netherlands,Frenkie de Jong,Cody Mathès Gakpo,2023-12-16 00:00:40.709,1,0.6666666666666666,58.5,13.7,70.5,12.6,,,,,,,1,No
3549,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Bartosz Bereszyński,Przemysław Frankowski,2023-12-16 00:00:40.171,1,0.6666666666666666,53.7,3.0,76.0,0.1,,,,,,,1,No
7549,3857266,2022-11-26,France,Denmark,2,1,Denmark,Andreas Christensen,Victor Nelsson,2023-12-16 00:00:41.562,1,0.6833333333333333,53.9,42.9,51.3,23.6,,,,,,,1,No
9511,3869552,2022-12-14,France,Morocco,2,0,Morocco,Jawad El Yamiq,Sofyan Amrabat,2023-12-16 00:00:41.352,1,0.6833333333333333,61.7,14.8,56.5,24.0,,,,,,,1,No
1169,3869321,2022-12-09,Netherlands,Argentina,2,2,Netherlands,Cody Mathès Gakpo,Memphis Depay,2023-12-16 00:00:41.675,1,0.6833333333333333,70.5,12.1,77.2,7.9,,,,,,,1,No
8597,3869354,2022-12-10,England,France,1,2,England,Jordan Pickford,John Stones,2023-12-16 00:00:42.971,1,0.7,6.0,35.6,9.1,50.7,,,,,,,1,No
1170,3869321,2022-12-09,Netherlands,Argentina,2,2,Netherlands,Memphis Depay,Daley Blind,2023-12-16 00:00:42.505,1,0.7,77.2,7.9,73.6,5.2,,,,,,,1,No
11421,3857279,2022-11-22,France,Australia,4,1,France,Ousmane Dembélé,Kylian Mbappé Lottin,2023-12-16 00:00:42.037,1,0.7,117.6,58.9,109.1,20.4,,,,,,,1,No
2434,3869685,2022-12-18,Argentina,France,3,3,Argentina,Cristian Gabriel Romero,Nicolás Hernán Otamendi,2023-12-16 00:00:43.285,1,0.7166666666666667,22.1,49.8,24.0,27.3,,,,,,,1,No
6676,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Argentina,Nahuel Molina Lucero,Damián Emiliano Martínez,2023-12-16 00:00:43.195,1,0.7166666666666667,44.6,73.2,22.8,43.8,,,,,,,1,No
2435,3869685,2022-12-18,Argentina,France,3,3,Argentina,Nicolás Hernán Otamendi,Nicolás Alejandro Tagliafico,2023-12-16 00:00:45.601,1,0.75,21.7,24.5,26.6,3.1,,,,,,,1,No
9512,3869552,2022-12-14,France,Morocco,2,0,Morocco,Sofyan Amrabat,Jawad El Yamiq,2023-12-16 00:00:45.655,1,0.75,57.3,25.2,49.8,8.7,,,,,,,1,No
6677,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Argentina,Damián Emiliano Martínez,Nicolás Hernán Otamendi,2023-12-16 00:00:46.759,1,0.7666666666666667,22.8,42.9,27.3,22.4,,,,,,,1,No
5654,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Joško Gvardiol,Dominik Livaković,2023-12-16 00:00:47.843,1,0.7833333333333333,9.5,14.3,9.5,46.0,,,,,,,1,No
2436,3869685,2022-12-18,Argentina,France,3,3,Argentina,Nicolás Alejandro Tagliafico,Alexis Mac Allister,2023-12-16 00:00:47.599,1,0.7833333333333333,29.2,2.5,45.6,4.2,,,,,,,1,No
1171,3869321,2022-12-09,Netherlands,Argentina,2,2,Netherlands,Nathan Aké,Virgil van Dijk,2023-12-16 00:00:47.203,1,0.7833333333333333,45.5,1.3,37.7,13.5,,,,,,,1,No
7550,3857266,2022-11-26,France,Denmark,2,1,Denmark,Victor Nelsson,Kasper Schmeichel,2023-12-16 00:00:48.245,1,0.8,51.3,23.7,21.2,41.8,,,,,,,1,No
8598,3869354,2022-12-10,England,France,1,2,England,John Stones,Declan Rice,2023-12-16 00:00:49.140,1,0.8166666666666667,26.4,43.7,35.2,26.1,,,,,,,1,No
3550,3857264,2022-11-30,Poland,Argentina,0,2,Argentina,Nahuel Molina Lucero,Rodrigo Javier De Paul,2023-12-16 00:00:49.965,1,0.8166666666666667,45.6,80.0,39.8,71.9,,,,,,,1,No
6678,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Argentina,Nicolás Hernán Otamendi,Nicolás Alejandro Tagliafico,2023-12-16 00:00:49.420,1,0.8166666666666667,32.2,16.3,41.7,4.4,,,,,,,1,No
1172,3869321,2022-12-09,Netherlands,Argentina,2,2,Netherlands,Virgil van Dijk,Marten de Roon,2023-12-16 00:00:49.362,1,0.8166666666666667,37.7,13.5,45.1,23.3,,,,,,,1,No
5655,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Dominik Livaković,Dejan Lovren,2023-12-16 00:00:50.557,1,0.8333333333333334,8.3,50.9,16.0,59.9,,,,,,,1,No
4712,3857289,2022-11-26,Argentina,Mexico,2,0,Argentina,Marcos Javier Acuña,Lisandro Martínez,2023-12-16 00:00:50.693,1,0.8333333333333334,75.4,0.1,45.0,4.7,,,,,,,1,No
1173,3869321,2022-12-09,Netherlands,Argentina,2,2,Netherlands,Marten de Roon,Virgil van Dijk,2023-12-16 00:00:50.387,1,0.8333333333333334,45.1,23.3,37.6,18.2,,,,,,,1,No
9513,3869552,2022-12-14,France,Morocco,2,0,France,Aurélien Djani Tchouaméni,Antoine Griezmann,2023-12-16 00:00:50.024,1,0.8333333333333334,47.3,61.1,62.6,63.1,,,,,,,1,No
8599,3869354,2022-12-10,England,France,1,2,England,Declan Rice,Luke Shaw,2023-12-16 00:00:51.221,1,0.85,37.5,24.8,43.9,2.8,,,,,,,1,No
3552,3857264,2022-11-30,Poland,Argentina,0,2,Argentina,Nahuel Molina Lucero,Cristian Gabriel Romero,2023-12-16 00:00:51.659,1,0.85,33.8,76.1,23.3,61.7,,,,,,,1,No
